Material,Value,Spell,Consumed?,Source,Pg.,Lvl.,Notes,School,Artificer,Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Warlock,Wizard
Ruby (as dust),"1,500 gp",Simulacrum,Y,PHB,276,7,,Illusion,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Sacrificial Offering appropriate to deity,25 gp,Divination,Y,PHB,234,4,,Divination,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Salt,0.10 gp (1 sp) per ounce (suggested),Comprehend Languages,N,PHB,224,1,,Divination,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Salt,0.10 gp (1 sp) per ounce (suggested),Gentle Repose,N,PHB,245,2,"""To preserve the body, of course."" Thanks, Eric Roberts!",Necromancy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Sand,0.05 gp (5 cp) per ounce (suggested),Catnap,N,XGtE,151,3,,Enchantment,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Sand,0.05 gp (5 cp) per ounce (suggested),Conjure Elemental (Water),N,PHB,225,5,,Conjuration,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Sand,0.05 gp (5 cp) per ounce (suggested),Create/Destroy Water (Destroy),N,PHB,229,1,,Conjuration,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Sand,0.05 gp (5 cp) per ounce (suggested),Dream,N,PHB,236,5,"""Reference to Mr. Sandman, a mythical entity that pours sand on the eyes of sleepers to give them dreams"" (Thanks, William Orfanakos!)",Illusion,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Sand,0.05 gp (5 cp) per ounce (suggested),Sleep,N,PHB,276,1,"Same reference as Dream. Thanks, William Orfanakos!",Enchantment,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Sand,0.05 gp (5 cp) per ounce (suggested),Wall of Sand,N,EEPC,22,3,Also available in XGtE pg. 170,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Sapphire,"1,000 gp",Drawmij's Instant Summons,Y,PHB,235,6,"Sapphire is crushed to activate, consuming it at that time, not upon casting.",Conjuration,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Sesame Seeds,1 gp per ounce (suggested),Passwall,N,PHB,264,5,"""Open Sesame!"" (Thanks, Reuben Kendall!)",Transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Shamrock,-,Shillelagh,N,PHB,275,0,,Transmutation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Silk Square,2 gp (suggested),Nystul's Magic Aura,N,PHB,263,2,"A silk handkerchief (or square) is a common magician's prop. Thanks, Janne!",Illusion,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Silver and Iron, powdered mixture",5 gp (suggested),Dispel Good,"[varies, check spell description]",PHB,233,5,See the comment for an interesting discussion on these two metals' usage in folklore!,Abjuration,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Silver and Iron, powdered mixture",100 gp,Magic Circle,Y,PHB,256,3,,Abjuration,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"Silver and Iron, powdered mixture",5 gp (suggested),Protection from Evil/Good,"[varies, check spell description]",PHB,270,1,,Abjuration,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"Silver Bar, ornately carved",100 gp,Astral Projection,Y,PHB,215,9,,Necromancy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"Silver Cage, Tiny",100 gp,Soul Cage,N,XGtE,165,6,Destroying the cage ends the spell.,Necromancy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"Silver Mirror, small",5 gp (suggested),Sanctuary,N,PHB,272,1,,Abjuration,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Silver Pins (3),-,Chain Lightning,N,PHB,221,6,,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Silver powder,25 gp,Ceremony,Y,XGtE,151,1,,Abjuration,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Silver powder,5 gp (suggested),See Invisibility,N,PHB,274,2,,Divination,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"Silver Rings, as a linked pair",-,Telepathy,N,PHB,281,8,"""You create a 'link' to keep the target 'in the loop.'"" I like it. Thanks, Janne!",Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Silver Rod,10 gp,Guards and Wards,N,PHB,248,6,,Abjuration,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Silver Spoon, tiny",5 gp,Mordenkainen's Magnificent Mansion,N,PHB,261,7,"Because people who live in mansions were born with a silver spoon in their mouth. Thanks, Leigh!",Conjuration,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Silver Whistle,5 gp (suggested),Mordenkainen's Faithful Hound,N,PHB,261,4,"This is how you summon a dog in real life, too. (Thanks, Richard Ward!)",Conjuration,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Skunk Cabbage Leaves,0.10 gp (1 sp) (suggested),Stinking Cloud,N,PHB,278,3,,Conjuration,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Snakeskin glove,5 gp,Bigby's Hand,N,PHB,218,5,,Evocation,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Snaketongue,-,Mass Suggestion,N,PHB,279,6,,Enchantment,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Snaketongue,-,Suggestion,N,PHB,279,2,,Enchantment,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"Snow, enough to make a life-size copy of the target creature",-,Simulacrum,Y,PHB,276,7,May substitute ice,Illusion,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Soil mixture in a small bag,0.05 gp (5 cp) (suggested),Move Earth,N,PHB,263,6,"Clay, loam, sand, etc.",Transmutation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Soot,-,Comprehend Languages,N,PHB,224,1,,Divination,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"Spheres of glass, crystal, or mineral",2 gp (suggested),Feeblemind,N,PHB,239,8,Makes your target... lose their marbles.,Enchantment,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Spider,-,Spider Climb,N,PHB,277,2,,Transmutation,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Spiderweb,-,Web,(DM's Discretion),PHB,287,2,,Conjuration,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Sponge,0.20 gp (2 sp) (suggested),Abi-Dalzim's Horrid Wilting,N,EEPC,14,8,Also available in PotA pg. 233; XGtE pg. 150,Necromancy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"Statue of the caster, carved from ivory and decorated with gems","1,500 gp",Contingency,N,PHB,227,6,,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Stem of a Thorny Plant,0.05 gp (5 cp) (suggested),Thorn Whip,N,PHB,282,0,,Transmutation,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Stone,-,Earthquake,N,PHB,236,8,,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Stone,-,Hallucinatory Terrain,N,PHB,249,4,,Illusion,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Straw,-,Water Breathing,N,PHB,287,3,"One might breathe through a straw (or reed) underwater, as a snorkel. (Thanks, Tucker Collins!)",Transmutation,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Straw,-,Whirlwind,N,EEPC,23,7,"Also available in PotA pg. 242, XGtE pg. 171",Evocation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
String,-,Unseen Servant,N,PHB,284,1,"Puppet! (thanks, Gardonian Gardonian!)",Conjuration,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Sugar,0.30 gp (3 sp) per ounce (suggested),Insect Plague,(DM's Discretion),PHB,254,5,,Conjuration,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sulfur,0.10 gp (1 sp) (suggested),Conjure Elemental (Fire),N,PHB,225,5,,Conjuration,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Sulfur,0.10 gp (1 sp) (suggested),Delayed Blast Fireball,N,PHB,230,7,The components for this spell are materials one could use to create a minor explosive.,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Sulfur,0.10 gp (1 sp) (suggested),Fireball,N,PHB,241,3,The components for this spell are materials one could use to create a minor explosive.,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Sulfur,0.10 gp (1 sp) (suggested),Flame Strike,N,PHB,242,5,,Evocation,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sumac Leaf,1 gp (suggested),Flame Blade,N,PHB,242,2,"Sumac is used as a spice, and poison sumac can make your skin (ahem) flare up. Thanks, Kibchi Redanlae!",Evocation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Sunburst Pendant,100 gp,Dawn,N,XGtE,153,5,,Evocation,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Sunstone,20 gp (suggested),Sunburst,N,PHB,279,8,"""Sunstone"" here likely refers to the transparent mineral that may have had polarizing qualities, allowing sailors to locate the sun on completely overcast days.",Evocation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Sweet Oil, a drop",1 gp per ounce (suggested),Mass Suggestion,(DM's Discretion),PHB,279,6,,Enchantment,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"Sweet Oil, a drop",1 gp per ounce (suggested),Suggestion,(DM's Discretion),PHB,279,2,,Enchantment,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Talcum powder,0.50 gp (5 sp) per pound (suggested),See Invisibility,(DM's Discretion),PHB,274,2,,Divination,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Tallow,0.30 gp (3 sp) per pound (suggested),Flaming Sphere,N,PHB,242,2,"""Tallow was used to make candles, and also as a fat for frying food. It has a high smoke point and can become incredibly hot in a frying pan."" Thanks, Reuben Kendall!",Conjuration,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Tarts,0.15 gp (15 cp) (suggested),Tasha's Hideous Laughter,N,PHB,280,1,"The spell does not consume the tarts, but any hungry creature may consume them after casting.

Probably a reference to getting a pie in the face. (Maybe that's the somatic component to this spell?) Thanks, Richard Ward!",Enchantment,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Tentacle of giant octopus or giant squid,-,Evard's Black Tentacles,N,PHB,248,4,"If the caster doesn't get this somehow preserved, does it rot over time? Does a rotting spell component summon rotting tentacles? Also, isn't this spell component huge???",Conjuration,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Thorns,0.10 gp (1 sp) per dozen (suggested),Wall of Thorns,N,PHB,287,6,,Conjuration,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Thorns, seven",0.10 gp (1 sp) per dozen (suggested),Spike Growth,N,PHB,277,2,May substitute seven sharpened sticks.,Transmutation,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Thread,0.10 gp (1 sp) per spool (suggested),Mordenkainen's Faithful Hound,N,PHB,261,4,"Magic leash for a magic hound (Thanks, Richard Ward!)",Conjuration,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Tiny Piece of Target Matter,-,Creation,N,PHB,229,5,"Obviously, this is highly variable.",Illusion,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Twig,0.05 gp (5 cp) (suggested),Hallucinatory Terrain,N,PHB,249,4,,Illusion,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Twig from a tree that has been struck by lightning,25 gp (suggested),Witch Bolt,N,PHB,289,1,IMHO this is a great example of a material spell component that can be an entire adventure hook. How many trees struck by lightning are you aware of? What if you were in a foreign land? Could someone familiar with the territory lead you to such a tree -- or even call lightning down for you? What kind of person would that be?,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Umber Hulk Blood,80 gp (suggested),Guards and Wards,N,PHB,248,6,,Abjuration,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Undead Eyeball, Encased in Gem",150 gp,Shadow of Moil,N,XGtE,164,4,,Necromancy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Vessel to contain a Medium-sized creature,"2,000 gp",Clone,N,PHB,222,8,"Urn, sarcophagus, coffin, etc.",Necromancy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Water,-,Armor of Agathys,(DM's Discretion),PHB,215,1,,Abjuration,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Water,-,Conjure Elemental (Water),(DM's Discretion),PHB,225,5,,Conjuration,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Water,-,Control Water,(DM's Discretion),PHB,227,4,,Transmutation,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Water,-,Create Food and Water,(DM's Discretion),PHB,229,3,,Conjuration,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Water,-,Flesh to Stone,(DM's Discretion),PHB,243,6,The spell components for this spell are ingredients used to make concrete.,Transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Water,-,Ice Knife (or as ice),(DM's Discretion),EEPC,18,1,"Also available in PotA pg. 237, XGtE pg. 157",Conjuration,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Water,-,Ice Storm,(DM's Discretion),PHB,252,4,,Evocation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Water,-,Sleet Storm,(DM's Discretion),PHB,276,3,,Conjuration,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Water,-,Tidal Wave,(DM's Discretion),EEPC,21,3,"Also available in PotA pg. 240, XGtE pg. 168",Conjuration,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Water,-,Wall of Water,(DM's Discretion),EEPC,22,3,"Also available in PotA pg. 241, XGtE pg. 170",Evocation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Water,-,Watery Sphere,(DM's Discretion),EEPC,22,4,"Also available in PotA pg. 241, XGtE pg. 170",Conjuration,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Weapon,10 gp (suggested),Booming Blade,N,SCAG,142,0,,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Weapon,10 gp (suggested),Green-Flame Blade,N,SCAG,,0,,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Wire of fine silver,1 gp per foot (suggested),Alarm,N,PHB,211,1,,Abjuration,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Wisp of Smoke,-,Gaseous Form,Y,PHB,244,3,,Transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Wisp of Smoke,-,True Polymorph,Y,PHB,266,9,,Transmutation,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Wood,1 sp (suggested),Unseen Servant,N,PHB,284,1,,Conjuration,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Wychwood,5 gp (suggested),Dancing Lights,N,PHB,230,0,,Evocation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Yew Leaf,1 gp (suggested),Detect Poison and Disease,N,PHB,231,1,"""The yew tree is deadly poisonous."" (Thanks, Reuben Kendall!) Also has medicinal uses! (Thanks, J.F. Aster!)",Divination,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
